"county","bldg_id","useful_cols_in_bldg_count"
"G4500130",31728,18
"G4500130",35909,18
"G4500130",40179,18
"G4500130",42529,18
"G4500130",51221,18
"G4500130",55429,18
"G4500130",58719,18
"G4500130",63258,18
"G4500130",68102,18
"G4500130",89535,18
"G4500130",92533,18
"G4500130",103127,18
"G4500130",104342,18
"G4500130",118814,18
"G4500130",133598,18
"G4500130",155189,18
"G4500130",168668,18
"G4500130",172428,18
"G4500130",174562,18
"G4500130",183311,18
"G4500130",191123,18
"G4500130",197971,18
"G4500130",214324,18
"G4500130",230293,18
"G4500130",241585,18
"G4500130",249479,18
"G4500130",261141,18
"G4500130",283069,18
"G4500130",287268,18
"G4500130",287419,18
"G4500130",293348,18
"G4500130",313534,18
"G4500130",332612,18
"G4500130",334120,18
"G4500130",339598,18
"G4500130",362329,18
"G4500130",35500,19
"G4500130",43145,19
"G4500130",65059,19
"G4500130",70240,19
"G4500130",106755,19
"G4500130",60449,20
"G4500130",331941,20
"G4500130",364308,20
"G4500130",369994,20
"G4500130",423651,20
"G4500130",432179,20
"G4500130",470450,20
"G4500130",503138,20
"G4500130",28389,21
"G4500130",65883,21
"G4500130",160506,21
"G4500130",221532,21
"G4500130",309823,21
"G4500150",295868,8
"G4500150",325114,8
"G4500150",418615,8
"G4500150",435075,8
"G4500150",461387,8
"G4500150",503659,8
"G4500150",525083,8
"G4500150",35223,9
"G4500150",40766,9
"G4500150",48673,9
"G4500150",72681,9
"G4500150",103204,9
"G4500150",329990,9
"G4500150",365331,9
"G4500150",497419,9
"G4500150",76497,10
"G4500150",414372,10
"G4500150",83620,14
"G4500150",353849,14
"G4500150",63862,15
"G4500150",64940,15
"G4500150",134509,15
"G4500150",229157,15
"G4500150",477927,15
"G4500150",952,16
"G4500150",5075,16
"G4500150",5333,16
"G4500150",19450,16
"G4500150",32808,16
"G4500150",37464,16
"G4500150",41136,16
"G4500150",75140,16
"G4500150",80229,16
"G4500150",90700,16
"G4500150",93632,16
"G4500150",126343,16
"G4500150",127804,16
"G4500150",133840,16
"G4500150",196102,16
"G4500150",200503,16
"G4500150",236209,16
"G4500150",270636,16
"G4500150",281084,16
"G4500150",287408,16
"G4500150",14004,17
"G4500150",15263,17
"G4500150",19536,17
"G4500150",24918,17
"G4500150",29895,17
"G4500150",67052,17
"G4500150",90095,17
"G4500150",97108,17
"G4500150",102606,17
"G4500150",118499,17
"G4500150",121342,17
"G4500150",127178,17
"G4500150",139966,17
"G4500150",140223,17
"G4500150",163932,17
"G4500150",166509,17
"G4500150",189015,17
"G4500150",201076,17
"G4500150",202437,17
"G4500150",205647,17
"G4500150",221711,17
"G4500150",223384,17
"G4500150",224764,17
"G4500150",229297,17
"G4500150",242267,17
"G4500150",252525,17
"G4500150",261339,17
"G4500150",261583,17
"G4500150",301541,17
"G4500150",303665,17
"G4500150",317664,17
"G4500150",331509,17
"G4500150",336421,17
"G4500150",358352,17
"G4500150",364111,17
"G4500150",373578,17
"G4500150",379531,17
"G4500150",385315,17
"G4500150",388118,17
"G4500150",400710,17
"G4500150",9461,18
"G4500150",14933,18
"G4500150",16393,18
"G4500150",20155,18
"G4500150",24836,18
"G4500150",30437,18
"G4500150",39235,18
"G4500150",65267,18
"G4500150",97729,18
"G4500150",132775,18
"G4500150",138370,18
"G4500150",138425,18
"G4500150",161315,18
"G4500150",161704,18
"G4500150",168967,18
"G4500150",176470,18
"G4500150",229675,18
"G4500150",243429,18
"G4500150",245225,18
"G4500150",267310,18
"G4500150",282154,18
"G4500150",312778,18
"G4500150",313003,18
"G4500150",329316,18
"G4500150",346137,18
"G4500150",349608,18
"G4500150",37867,19
"G4500150",75072,19
"G4500150",90539,19
"G4500150",105173,19
"G4500150",146568,19
"G4500150",169114,19
"G4500150",174103,19
"G4500150",197167,19
"G4500150",232365,19
"G4500150",246795,19
"G4500150",590,20
"G4500150",41085,20
"G4500150",102764,20
"G4500150",208947,20
"G4500150",242500,20
"G4500150",320952,20
"G4500150",323502,20
"G4500150",369797,20
"G4500150",487035,20
"G4500150",548554,20
"G4500150",236912,21
"G4500150",500811,21
"G4500150",153742,22
"G4500170",424986,8
"G4500170",515089,8
"G4500170",517924,9
"G4500170",150097,16
"G4500170",508214,16
"G4500170",59976,17
"G4500170",128824,17
"G4500170",129187,17
"G4500170",330545,17
"G4500170",376675,17
"G4500170",515176,18
"G4500170",189172,19
"G4500170",250718,19
"G4500170",475946,20
"G4500190",36877,8
"G4500190",47256,8
"G4500190",64829,8
"G4500190",101336,8
"G4500190",122693,8
"G4500190",131726,8
"G4500190",142516,8
"G4500190",164599,8
"G4500190",169104,8
"G4500190",203355,8
"G4500190",266465,8
"G4500190",268802,8
"G4500190",285879,8
"G4500190",344718,8
"G4500190",355610,8
"G4500190",411406,8
"G4500190",452064,8
"G4500190",474709,8
"G4500190",482417,8
"G4500190",495207,8
"G4500190",502935,8
"G4500190",517381,8
"G4500190",518978,8
"G4500190",25926,9
"G4500190",90841,9
"G4500190",135520,9
"G4500190",168794,9
"G4500190",206143,9
"G4500190",223994,9
"G4500190",311901,9
"G4500190",341356,9
"G4500190",382449,9
"G4500190",383068,9
"G4500190",404037,9
"G4500190",423161,9
"G4500190",464861,9
"G4500190",519798,9
"G4500190",524887,9
"G4500190",538682,9
